ref	value	footprint	Campo1
C1	100n	~	
C2	100n	~	
C3	15p	~	
C4	15p	~	
C5	1u	~	
C6	100n	~	
C7	100nF	~	
C8	100u	~	
C9	4.7uF	~	
C10	100nF	~	
C11	47pF	~	
C12	47pF	~	
C13	1u	~	
C14	10nF	~	
C15	100u	~	
CON1	USB-MICRO-B		
D1	ZHCS2000	~	
D2	RED_LED	~	
D3	1N6479	~	
D4	1N6479	~	
D5	1N6479	~	
D6	1N6479	~	
IC1	ATMEGA328P-P	DIL28	
JP1	JUMPER	~	
K1	RELAY_TX2-LT-3	~	
K2	RELAY_TX2-LT-3	~	
L1	10uH	~	
L2	BLM18PG471SN1	~	
P1	BATTERY		
P2	RADIO		
P3	ICSP		
P4	AUX		
P5	BATT		
P6	3V3		
P7	GND		
P8	RELAY		
P9	JACK_4P	~	
Q1	BCW33	SOT23	
Q2	BCW33	SOT23	
Q3	BCW33	SOT23	
Q4	BCW33	SOT23	
R1	4.7K	~	
R2	27R	~	
R3	27R	~	
R4	10R	~	
R5	4.7K	~	
R6	4.7K	~	
R7	120	~	
R8	750	~	
R9	750	~	
R10	750	~	
R11	750	~	
R12	470K	~	
R13	470K	~	
U1	IRF7404		
U2	DS18B20	~	
U3	24FC1025	~	
U4	SP6641B	SOT-23	
U5	FT231XS	~	
X1	16MHz	~	
